PLR	FEC	PPS	ELossMin	ELossAvg	ELossMax
0.045	0	333	0.945995	0.955068	0.963996
0.045	0.01	333	0.947479	0.958604	0.968787
0.045	0.17	333	0.9994	0.999964	1
0.045	0.03	333	0.952881	0.965408	0.97389
0.045	0.06	333	0.97389	0.984589	0.993998
0.045	0.07	333	0.981693	0.990429	0.9997
0.045	0.04	333	0.960396	0.970204	0.979898
0.045	0.165	333	0.9994	0.999994	1
0.045	0.095	333	0.993106	0.998708	1
0.045	0.185	333	0.9994	0.999967	1
0.045	0.145	333	0.997601	0.999889	1
0.045	0.125	333	0.997002	0.999817	1
0.045	0.025	333	0.950225	0.963214	0.972114
0.045	0.005	333	0.947526	0.956558	0.964918
0.045	0.075	333	0.982309	0.993238	1
0.045	0.115	333	0.995802	0.999724	1
0.045	0.085	333	0.991604	0.997127	1
0.045	0.105	333	0.994003	0.999427	1
0.045	0.035	333	0.957134	0.968405	0.977218
0.045	0.065	333	0.977811	0.987413	0.997301
0.045	0.015	333	0.953237	0.960641	0.971523
0.045	0.175	333	0.9994	0.999961	1
0.045	0.195	333	0.9994	0.999952	1
0.045	0.055	333	0.968816	0.980681	0.991304
0.045	0.045	333	0.962219	0.974444	0.984108
0.045	0.155	333	0.9991	0.999946	1
0.045	0.135	333	0.999101	0.999916	1
0.05	0.08	333	0.981693	0.992359	0.9991
0.05	0.11	333	0.994898	0.999169	1
0.05	0.09	333	0.986795	0.996047	1
0.05	0.06	333	0.966387	0.979301	0.991597
0.05	0.12	333	0.996699	0.999619	1
0.05	0.1	333	0.991597	0.99825	1
0.05	0.17	333	0.9991	0.999937	1
0.05	0.02	333	0.945978	0.95563	0.966687
0.05	0.05	333	0.958583	0.971705	0.985594
0.05	0.16	333	0.997899	0.999871	1
0.05	0.04	333	0.952881	0.96428	0.97539
0.05	0.18	333	0.9994	0.99997	1
0.05	0.19	333	0.9997	0.999988	1
0.05	0.03	333	0.947479	0.959913	0.970288
0.05	0.14	333	0.998499	0.999907	1
0.05	0.13	333	0.997299	0.999844	1
0.05	0.01	333	0.942694	0.953492	0.965797
0.05	0.07	333	0.973589	0.986503	0.9994
0.05	0.15	333	0.9988	0.999871	1
0.05	0	333	0.941477	0.950051	0.959484
0.05	0.085	333	0.987995	0.994997	1
0.05	0.035	333	0.948679	0.96268	0.97449
0.05	0.025	333	0.945378	0.957647	0.969088
0.05	0.015	333	0.946279	0.955135	0.963385
0.05	0.195	333	0.9991	0.999931	1
0.05	0.155	333	0.9991	0.999973	1
0.05	0.105	333	0.991897	0.998758	1
0.05	0.185	333	0.9991	0.999958	1
0.05	0.165	333	0.9994	0.999967	1
0.05	0.005	333	0.940876	0.951327	0.961885
0.05	0.145	333	0.997299	0.999775	1
0.05	0.125	333	0.997299	0.999706	1
0.05	0.175	333	0.9991	0.999955	1
0.05	0.065	333	0.972689	0.982863	0.992797
0.05	0.115	333	0.992197	0.999475	1
0.05	0.045	333	0.956783	0.968686	0.979292
0.05	0.135	333	0.9988	0.999832	1
0.05	0.095	333	0.990696	0.997218	1
0.05	0.055	333	0.963085	0.975186	0.986495
0.05	0.075	333	0.972389	0.99024	0.998499
0.055	0.03	333	0.942077	0.954285	0.965486
0.055	0.02	333	0.939076	0.950105	0.962785
0.055	0.12	333	0.993998	0.999457	1
0.055	0.08	333	0.97479	0.988737	0.998199
0.055	0.18	333	0.998499	0.999952	1
0.055	0.09	333	0.982593	0.993701	1
0.055	0.1	333	0.987095	0.997041	1
0.055	0.19	333	0.9991	0.999979	1
0.055	0.17	333	0.9991	0.999946	1
0.055	0	333	0.936074	0.945072	0.953781
0.055	0.13	333	0.994298	0.999751	1
0.055	0.04	333	0.946879	0.957758	0.970288
0.055	0.16	333	0.997899	0.999859	1
0.055	0.11	333	0.990996	0.998787	1
0.055	0.01	333	0.937275	0.94822	0.959784
0.055	0.05	333	0.951981	0.965336	0.979892
0.055	0.14	333	0.997299	0.999847	1
0.055	0.06	333	0.960084	0.973752	0.988295
0.055	0.15	333	0.9988	0.999847	1
0.055	0.07	333	0.967587	0.981474	0.993697
0.055	0.035	333	0.943962	0.956722	0.968834
0.055	0.025	333	0.938249	0.95196	0.964928
0.055	0.095	333	0.979017	0.995468	1
0.055	0.045	333	0.95024	0.962356	0.97542
0.055	0.185	333	0.998501	0.999943	1
0.055	0.165	333	0.9994	0.999994	1
0.055	0.065	333	0.961619	0.976833	0.992804
0.055	0.055	333	0.955336	0.969074	0.982014
0.055	0.075	333	0.968825	0.985551	0.997002
0.055	0.005	333	0.934652	0.946298	0.956835
0.055	0.015	333	0.941229	0.949604	0.96042
0.055	0.085	333	0.981709	0.991952	0.998801
0.055	0.125	333	0.996703	0.999556	1
0.055	0.155	333	0.998801	0.999919	1
0.055	0.175	333	0.999101	0.999934	1
0.055	0.105	333	0.991607	0.9983	1
0.055	0.145	333	0.997602	0.999823	1
0.055	0.135	333	0.997002	0.99988	1
0.055	0.115	333	0.989805	0.99908	1
0.055	0.195	333	0.999101	0.999922	1
0.06	0.02	333	0.933153	0.944691	0.956235
0.06	0.09	333	0.977818	0.990273	1
0.06	0.14	333	0.997002	0.999697	1
0.06	0.04	333	0.939748	0.951631	0.966727
0.06	0.06	333	0.953837	0.967018	0.982614
0.06	0.16	333	0.997602	0.999886	1
0.06	0.1	333	0.983813	0.994853	1
0.06	0.17	333	0.9991	0.999892	1
0.06	0.03	333	0.937032	0.948545	0.95952
0.06	0.19	333	0.9994	0.999985	1
0.06	0.07	333	0.957434	0.975339	0.98711
0.06	0.01	333	0.930755	0.943081	0.955635
0.06	0.11	333	0.989205	0.998006	1
0.06	0.05	333	0.943645	0.95857	0.976319
0.06	0.08	333	0.972122	0.9844	0.994604
0.06	0.15	333	0.998801	0.999922	1
0.06	0	333	0.927458	0.940069	0.948741
0.06	0.12	333	0.993703	0.99905	1
0.06	0.13	333	0.993106	0.999562	1
0.06	0.18	333	0.999101	0.999991	1
0.06	0.025	333	0.932234	0.946039	0.96042
0.06	0.055	333	0.94901	0.961947	0.977504
0.06	0.115	333	0.989502	0.998368	1
0.06	0.085	333	0.976605	0.988392	0.9976
0.06	0.005	333	0.928036	0.940932	0.951424
0.06	0.155	333	0.9988	0.999919	1
0.06	0.105	333	0.988602	0.996863	1
0.06	0.035	333	0.938512	0.950567	0.964007
0.06	0.175	333	0.9991	0.999967	1
0.06	0.135	333	0.996401	0.999793	1
0.06	0.125	333	0.995201	0.999343	1
0.06	0.165	333	0.996701	0.999874	1
0.06	0.185	333	0.9985	0.999901	1
0.06	0.015	333	0.934013	0.944055	0.955609
0.06	0.095	333	0.978411	0.992696	1
0.06	0.075	333	0.962519	0.979841	0.995202
0.06	0.195	333	0.9991	0.999949	1
0.06	0.045	333	0.943311	0.955681	0.971806
0.06	0.145	333	0.996102	0.999718	1
0.06	0.065	333	0.95081	0.970033	0.982603
0.065	0.03	334	0.929809	0.942885	0.955496
0.065	0.16	334	0.997013	0.999827	1
0.065	0.01	334	0.925329	0.937966	0.950717
0.065	0.15	334	0.99552	0.999791	1
0.065	0.04	334	0.932497	0.945693	0.960573
0.065	0.19	334	0.999103	0.999913	1
0.065	0.18	334	0.999104	0.999917	1
0.065	0.13	334	0.993729	0.999286	1
0.065	0.14	334	0.990741	0.999486	1
0.065	0	334	0.920526	0.935082	0.944428
0.065	0.17	334	0.996713	0.999886	1
0.065	0.02	334	0.922939	0.939214	0.951016
0.065	0.06	334	0.945042	0.96014	0.977001
0.065	0.05	334	0.935802	0.95212	0.971335
0.065	0.08	334	0.964456	0.979113	0.994026
0.065	0.07	334	0.949208	0.968856	0.980878
0.065	0.09	334	0.97043	0.986663	1
0.065	0.11	334	0.982383	0.99662	1
0.065	0.12	334	0.992829	0.998629	1
0.065	0.1	334	0.980878	0.992274	1
0.065	0.035	333	0.932834	0.944882	0.957421
0.065	0.135	333	0.993703	0.999415	1
0.065	0.125	333	0.992204	0.998932	1
0.065	0.045	333	0.936751	0.949547	0.965528
0.065	0.025	333	0.927415	0.940504	0.953809
0.065	0.155	333	0.998501	0.999838	1
0.065	0.085	333	0.969724	0.983588	0.996103
0.065	0.105	333	0.983803	0.994697	1
0.065	0.015	333	0.927136	0.938905	0.949325
0.065	0.095	333	0.973613	0.989349	1
0.065	0.165	333	0.996701	0.999832	1
0.065	0.065	333	0.945711	0.963263	0.977504
0.065	0.115	333	0.980804	0.997187	1
0.065	0.185	333	0.998501	0.999877	1
0.065	0.145	333	0.996102	0.999604	1
0.065	0.175	333	0.998801	0.999916	1
0.065	0.075	333	0.955609	0.973728	0.988902
0.065	0.195	333	0.999101	0.999916	1
0.065	0.055	333	0.942729	0.955241	0.972414
0.065	0.005	333	0.922362	0.936007	0.946643
0.07	0.11	333	0.981693	0.994136	1
0.07	0.18	333	0.998499	0.999901	1
0.07	0.12	333	0.987695	0.997728	1
0.07	0.13	333	0.993097	0.998848	1
0.07	0.02	333	0.918667	0.933869	0.946879
0.07	0.1	333	0.972389	0.988796	1
0.07	0.07	333	0.942377	0.961585	0.97539
0.07	0.05	333	0.929772	0.945606	0.963085
0.07	0.19	333	0.9991	0.999946	1
0.07	0.16	333	0.996098	0.999709	1
0.07	0.03	333	0.922569	0.937431	0.94988
0.07	0.09	333	0.963685	0.981528	0.996699
0.07	0.01	333	0.918367	0.932899	0.947179
0.07	0.14	333	0.990696	0.999274	1
0.07	0	333	0.915966	0.930258	0.940276
0.07	0.06	333	0.934274	0.952986	0.97419
0.07	0.17	333	0.996699	0.999886	1
0.07	0.15	333	0.995198	0.999649	1
0.07	0.04	333	0.92467	0.939703	0.953481
0.07	0.08	333	0.953481	0.972284	0.989496
0.07	0.115	333	0.975712	0.995607	1
0.07	0.185	333	0.998501	0.999871	1
0.07	0.075	333	0.949026	0.966534	0.983808
0.07	0.125	333	0.988309	0.998195	1
0.07	0.055	333	0.932834	0.94881	0.964618
0.07	0.065	333	0.937013	0.956014	0.972106
0.07	0.165	333	0.996102	0.999763	1
0.07	0.085	333	0.962507	0.977909	0.995801
0.07	0.035	333	0.926837	0.939037	0.951124
0.07	0.145	333	0.993403	0.999466	1
0.07	0.195	333	0.9988	0.999934	1
0.07	0.015	333	0.922962	0.933597	0.944245
0.07	0.025	333	0.920216	0.935051	0.94991
0.07	0.045	333	0.929814	0.943372	0.958608
0.07	0.175	333	0.9976	0.999898	1
0.07	0.005	333	0.918165	0.930956	0.943645
0.07	0.135	333	0.991599	0.999139	1
0.07	0.155	333	0.993401	0.999733	1
0.07	0.095	333	0.964918	0.985283	1
0.07	0.105	333	0.98081	0.991862	1
0.075	0.02	333	0.914294	0.928717	0.942463
0.075	0.15	333	0.993711	0.999536	1
0.075	0.11	333	0.976633	0.99195	1
0.075	0.07	333	0.934372	0.954555	0.970333
0.075	0.1	333	0.969434	0.984094	0.996404
0.075	0.06	333	0.930497	0.946258	0.970342
0.075	0.09	333	0.95746	0.975464	0.990114
0.075	0.01	333	0.914919	0.927849	0.944278
0.075	0.03	333	0.917615	0.931971	0.946375
0.075	0.19	333	0.998802	0.999889	1
0.075	0.18	333	0.999101	0.999955	1
0.075	0.17	333	0.996704	0.999853	1
0.075	0.16	333	0.996105	0.999641	1
0.075	0.13	333	0.98802	0.998167	1
0.075	0.14	333	0.990413	0.998853	1
0.075	0.12	333	0.984422	0.996163	1
0.075	0	333	0.91195	0.925415	0.936208
0.075	0.05	333	0.922731	0.939335	0.959269
0.075	0.04	333	0.918239	0.933824	0.949087
0.075	0.08	333	0.948441	0.965396	0.984712
0.075	0.025	333	0.914517	0.929823	0.942412
0.075	0.155	333	0.993103	0.999676	1
0.075	0.035	333	0.922039	0.933424	0.945427
0.075	0.135	333	0.991302	0.998497	1
0.075	0.115	333	0.973313	0.993634	1
0.075	0.045	333	0.925615	0.937286	0.95231
0.075	0.105	333	0.974505	0.988668	0.9979
0.075	0.065	333	0.927736	0.948801	0.966417
0.075	0.125	333	0.988306	0.997031	1
0.075	0.145	333	0.993103	0.999265	1
0.075	0.185	333	0.9985	0.999874	1
0.075	0.055	333	0.921739	0.942288	0.961619
0.075	0.085	333	0.95111	0.971503	0.990702
0.075	0.015	333	0.917541	0.928471	0.94033
0.075	0.005	333	0.912717	0.926065	0.939112
0.075	0.195	333	0.998801	0.999913	1
0.075	0.165	333	0.995801	0.999694	1
0.075	0.095	333	0.956509	0.980096	0.9994
0.075	0.075	333	0.943011	0.959127	0.979004
0.075	0.175	333	0.9976	0.999895	1
0.08	0.17	333	0.996699	0.999805	1
0.08	0.1	333	0.959784	0.978403	0.996399
0.08	0.12	333	0.978091	0.993845	1
0.08	0.19	333	0.9991	0.99991	1
